policy,deferral_cost,realised_cost_per_object,n,n_auto_classified,n_deferred,coverage,deferral_rate,auto_accuracy,selective_risk,total_errors,errors_accepted,errors_deferred,error_capture_fraction,correct_unnecessarily_deferred,deferred_set_error_precision
learned_shape,0.4,0.25583756345177666,1576,1153,423,0.7315989847715736,0.2684010152284264,0.7970511708586296,0.20294882914137033,458,234,224,0.4890829694323144,199,0.5295508274231678
learned_full,0.4,0.22271573604060912,1576,1056,520,0.6700507614213198,0.3299492385786802,0.8645833333333334,0.13541666666666666,458,143,315,0.6877729257641921,205,0.6057692307692307
all_accept,0.4,0.2906091370558376,1576,1576,0,1.0,0.0,0.7093908629441624,0.2906091370558376,458,458,0,0.0,0,
all_defer,0.4,0.4,1576,0,1576,0.0,1.0,,,458,0,458,1.0,1118,0.2906091370558376
oracle_reference,0.4,0.11624365482233504,1576,1118,458,0.7093908629441624,0.2906091370558376,1.0,0.0,458,0,458,1.0,0,1.0
raw_confidence,0.5,0.38293147208121825,1576,511,1065,0.32423857868020306,0.675761421319797,0.8610567514677103,0.13894324853228962,458,71,387,0.8449781659388647,678,0.36338028169014086
calibrated_confidence,0.5,0.2880710659898477,1576,1286,290,0.815989847715736,0.18401015228426396,0.7597200622083982,0.24027993779160187,458,309,149,0.32532751091703055,141,0.5137931034482759
predicted_class_rate,0.5,0.2661802030456853,1576,1211,365,0.7684010152284264,0.2315989847715736,0.8042939719240297,0.19570602807597026,458,237,221,0.48253275109170307,144,0.6054794520547945
learned_shape,0.5,0.2760152284263959,1576,1346,230,0.8540609137055838,0.14593908629441624,0.7622585438335809,0.237741456166419,458,320,138,0.30131004366812225,92,0.6
learned_full,0.5,0.2509517766497462,1576,1217,359,0.7722081218274112,0.22779187817258884,0.8225143796220213,0.17748562037797863,458,216,242,0.5283842794759825,117,0.6740947075208914
all_accept,0.5,0.2906091370558376,1576,1576,0,1.0,0.0,0.7093908629441624,0.2906091370558376,458,458,0,0.0,0,
all_defer,0.5,0.5,1576,0,1576,0.0,1.0,,,458,0,458,1.0,1118,0.2906091370558376
oracle_reference,0.5,0.1453045685279188,1576,1118,458,0.7093908629441624,0.2906091370558376,1.0,0.0,458,0,458,1.0,0,1.0
