policy,target_coverage,n,n_auto_classified,n_deferred,coverage,deferral_rate,auto_accuracy,selective_risk,total_errors,errors_accepted,errors_deferred,error_capture_fraction,correct_unnecessarily_deferred,deferred_set_error_precision,auto_accuracy_sd,selective_risk_sd,error_capture_fraction_sd
calibrated_confidence,0.8,1576.0,1261.0,315.0,0.8001269035532995,0.1998730964467005,0.7660586835844568,0.23394131641554322,458.0,295.0,163.0,0.3558951965065502,152.0,0.5174603174603175,,,
calibrated_confidence,0.9,1576.0,1418.0,158.0,0.899746192893401,0.10025380710659898,0.7383638928067701,0.2616361071932299,458.0,371.0,87.0,0.18995633187772926,71.0,0.5506329113924051,,,
calibrated_confidence,0.95,1576.0,1497.0,79.0,0.9498730964467005,0.05012690355329949,0.7274549098196392,0.2725450901803607,458.0,408.0,50.0,0.1091703056768559,29.0,0.6329113924050633,,,
calibrated_confidence,1.0,1576.0,1576.0,0.0,1.0,0.0,0.7093908629441624,0.2906091370558376,458.0,458.0,0.0,0.0,0.0,,,,
calibrated_margin,0.5,1576.0,788.0,788.0,0.5,0.5,0.8413705583756346,0.15862944162436549,458.0,125.0,333.0,0.7270742358078602,455.0,0.42258883248730966,,,
calibrated_margin,0.6,1576.0,946.0,630.0,0.600253807106599,0.399746192893401,0.8245243128964059,0.17547568710359407,458.0,166.0,292.0,0.6375545851528385,338.0,0.4634920634920635,,,
calibrated_margin,0.7,1576.0,1103.0,473.0,0.6998730964467005,0.3001269035532995,0.8041704442429737,0.1958295557570263,458.0,216.0,242.0,0.5283842794759825,231.0,0.5116279069767442,,,
calibrated_margin,0.8,1576.0,1261.0,315.0,0.8001269035532995,0.1998730964467005,0.767644726407613,0.232355273592387,458.0,293.0,165.0,0.36026200873362446,150.0,0.5238095238095238,,,
calibrated_margin,0.9,1576.0,1418.0,158.0,0.899746192893401,0.10025380710659898,0.7397743300423131,0.26022566995768687,458.0,369.0,89.0,0.1943231441048035,69.0,0.5632911392405063,,,
calibrated_margin,0.95,1576.0,1497.0,79.0,0.9498730964467005,0.05012690355329949,0.7234468937875751,0.27655310621242485,458.0,414.0,44.0,0.09606986899563319,35.0,0.5569620253164557,,,
calibrated_margin,1.0,1576.0,1576.0,0.0,1.0,0.0,0.7093908629441624,0.2906091370558376,458.0,458.0,0.0,0.0,0.0,,,,
calibrated_negative_entropy,0.5,1576.0,788.0,788.0,0.5,0.5,0.8096446700507615,0.19035532994923857,458.0,150.0,308.0,0.6724890829694323,480.0,0.39086294416243655,,,
calibrated_negative_entropy,0.6,1576.0,946.0,630.0,0.600253807106599,0.399746192893401,0.7843551797040169,0.2156448202959831,458.0,204.0,254.0,0.5545851528384279,376.0,0.4031746031746032,,,
calibrated_negative_entropy,0.7,1576.0,1103.0,473.0,0.6998730964467005,0.3001269035532995,0.7688123300090662,0.23118766999093382,458.0,255.0,203.0,0.4432314410480349,270.0,0.42917547568710357,,,
calibrated_negative_entropy,0.8,1576.0,1261.0,315.0,0.8001269035532995,0.1998730964467005,0.7549563838223632,0.24504361617763679,458.0,309.0,149.0,0.32532751091703055,166.0,0.473015873015873,,,
calibrated_negative_entropy,0.9,1576.0,1418.0,158.0,0.899746192893401,0.10025380710659898,0.736953455571227,0.2630465444287729,458.0,373.0,85.0,0.185589519650655,73.0,0.5379746835443038,,,
calibrated_negative_entropy,0.95,1576.0,1497.0,79.0,0.9498730964467005,0.05012690355329949,0.7254509018036072,0.2745490981963928,458.0,411.0,47.0,0.10262008733624454,32.0,0.5949367088607594,,,
calibrated_negative_entropy,1.0,1576.0,1576.0,0.0,1.0,0.0,0.7093908629441624,0.2906091370558376,458.0,458.0,0.0,0.0,0.0,,,,
calibrated_transient_mass,0.5,1576.0,788.0,788.0,0.5,0.5,0.7893401015228426,0.21065989847715735,458.0,166.0,292.0,0.6375545851528385,496.0,0.37055837563451777,,,
calibrated_transient_mass,0.6,1576.0,946.0,630.0,0.600253807106599,0.399746192893401,0.7801268498942917,0.21987315010570824,458.0,208.0,250.0,0.5458515283842795,380.0,0.3968253968253968,,,
calibrated_transient_mass,0.7,1576.0,1103.0,473.0,0.6998730964467005,0.3001269035532995,0.7588395285584769,0.2411604714415231,458.0,266.0,192.0,0.4192139737991266,281.0,0.4059196617336152,,,
calibrated_transient_mass,0.8,1576.0,1261.0,315.0,0.8001269035532995,0.1998730964467005,0.7478191911181602,0.2521808088818398,458.0,318.0,140.0,0.3056768558951965,175.0,0.4444444444444444,,,
calibrated_transient_mass,0.9,1576.0,1418.0,158.0,0.899746192893401,0.10025380710659898,0.7334273624823695,0.26657263751763044,458.0,378.0,80.0,0.17467248908296942,78.0,0.5063291139240507,,,
calibrated_transient_mass,0.95,1576.0,1497.0,79.0,0.9498730964467005,0.05012690355329949,0.72812291249165,0.27187708750835005,458.0,407.0,51.0,0.11135371179039301,28.0,0.6455696202531646,,,
calibrated_transient_mass,1.0,1576.0,1576.0,0.0,1.0,0.0,0.7093908629441624,0.2906091370558376,458.0,458.0,0.0,0.0,0.0,,,,
predicted_class_rate,0.5,1576.0,788.0,788.0,0.5,0.5,0.8604060913705583,0.13959390862944163,458.0,110.0,348.0,0.759825327510917,440.0,0.4416243654822335,,,
predicted_class_rate,0.6,1576.0,946.0,630.0,0.600253807106599,0.399746192893401,0.8625792811839323,0.13742071881606766,458.0,130.0,328.0,0.7161572052401747,302.0,0.5206349206349207,,,
predicted_class_rate,0.7,1576.0,1103.0,473.0,0.6998730964467005,0.3001269035532995,0.8349954669084315,0.16500453309156846,458.0,182.0,276.0,0.6026200873362445,197.0,0.5835095137420718,,,
predicted_class_rate,0.8,1576.0,1261.0,315.0,0.8001269035532995,0.1998730964467005,0.7985725614591594,0.2014274385408406,458.0,254.0,204.0,0.44541484716157204,111.0,0.6476190476190476,,,
predicted_class_rate,0.9,1576.0,1418.0,158.0,0.899746192893401,0.10025380710659898,0.7581100141043724,0.24188998589562766,458.0,343.0,115.0,0.25109170305676853,43.0,0.7278481012658228,,,
